candidate_id,candidate_election_year,candidate_name,party_full,incumbent_challenge_full,office,total_receipts,total_disbursements,cash_on_hand_end_period,committee_ids,coverage_end_date,candidate_pcc_id,candidate_pcc_name
P00000679,2020,"CARROLL, JERRY LEON",NONE,Challenger,P,320.00,320.00,2.00,{C00214999},2020-12-31 00:00:00,C00214999,JERRY CARROLL COMMITTEE FOR PRESIDENT
P00003244,2020,"WINTERBOTTOM, THOMAS FRANCIS",DEMOCRATIC PARTY,Challenger,P,0.0,0.0,0.0,{C00549923},,C00549923,THOMAS F WINTERBOTTOM FOR PRESIDENT
P00003814,2020,"MALONE, YEHANNA JOAN M M",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00691121},,C00691121,MALONE FOR PRESIDENT IN 2020
P00003897,2020,"WALLACE, WILLIAM LEONARD",INDEPENDENT,Open seat,P,0.0,0.0,0.0,"{C00577791,C00696013}",,C00696013,WALLACE 2020
P00003962,2020,"SCHRINER, JOSEPH CHARLES",UNKNOWN,Open seat,P,3457.00,3635.00,15.00,{C00385153},2020-12-31 00:00:00,C00385153,SCHRINER PRESIDENTIAL ELECTION COMMITTEE
P00004846,2020,"IWACHIW, WALTER N",REPUBLICAN PARTY,Open seat,P,0.0,0.0,0.0,"{C00599423,C00728634}",,C00728634,I4PA
P00004861,2020,"BICKELMEYER, MICHAEL",REPUBLICAN PARTY,Challenger,P,940.00,672.00,0.00,{C00553206},2020-12-31 00:00:00,C00553206,COMMITTEE TO ELECT MICHAEL BICKELMEYER
P00004887,2020,"GABLE, JEREMY JOSEPH MR.",NO PARTY AFFILIATION,,P,0.00,0.00,0.00,{C00577742},2017-08-21 00:00:00,C00577742,"HEY, JEREMY GABLE IS RUNNING FOR PRESIDENT"
P00004929,2020,"HURLEY, CHRISTOPHER JAMES",UNAFFILIATED,Challenger,P,0.0,0.0,0.0,{C00588327},,C00588327,CHRISTOPHER HURLEY FOR PRESIDENT
P00004945,2020,"HOWITT, JAMES WILLIAM",REPUBLICAN PARTY,Challenger,P,0.0,0.0,0.0,{C00591180},,C00591180,HOWITT FOR PRESIDENT
P00005090,2020,"BOYER, GREGORY",WRITE-IN,Challenger,P,0.0,0.0,0.0,{C00621128},,C00621128,GREGORY BOYER FOR AMERICA
P00005116,2020,"SCOTT, KAMERON",,Challenger,P,0.0,0.0,0.0,{C00654996},,C00654996,KAMERON SCOTT PARTY
